PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,CH4,CH4_log10
Perm94,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,1.1212571899,0.0077267950301665,10,0.5113672102027249,0.2546135905454171,0.093,-1.031517051446065
Perm95,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,1.1030164929,0.0076643352003603,10,0.515560902655118,0.2607261676600915,0.165,-0.7825160557860937
Perm96,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1,1.2182266719,0.0067731655718433,10,0.4835087784863429,0.2342697229351926,0.035,-1.4559319556497243
Perm97,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(CC2=CC=C(*)C=C2)C=C1,1.1304834889,0.0074676273198556,10,0.5134108165201919,0.2454768135716323,0.039,-1.408935392973501
Perm98,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(C=C3)N(C3=CC=CC=C3)C3=CC=C(*)C=C3)=CC2C1=O,1.1727620639000005,0.0071341504367051,10,0.510287761157826,0.2220200336541286,0.085,-1.0705810742857071
Perm100,Polyamides and poly(amide-imides),*NC(=O)C1=CC(=CC=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1,1.0664932661,0.0074932658742542,10,0.55072543319966,0.2364515442293243,0.128,-0.8927900303521317
Perm101,Polyamides and poly(amide-imides),*NC(=O)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1,1.0500773235,0.0079635962221603,10,0.5506216802898863,0.2483460576101603,0.548,-0.2612194415156308
Perm102,Conjugated Polymers (excl. subst. acetylenes/propynes),*NC1=CC=C(*)C=C1,1.1636501549,0.0062018520710177,10,0.561859333172358,0.1500499898985673,0.0094,-2.0268721464003012
Perm111,Polycarbonates,*OC(=O)OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(*)C=C1,1.0762658763,0.0076243037781078,10,0.5319640682784622,0.2557047936624183,0.581,-0.2358238676096693
Perm112,Polycarbonates,*OC(=O)OC1=CC=C(C=C1)C1(CC2CCC1C2)C1=CC=C(*)C=C1,1.0820721594000002,0.0075358100197367,10,0.5476884090265732,0.2295701067361448,0.48,-0.3187587626244128
Perm113,Polycarbonates,*OC(=O)OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(*)C=C1,1.0662909702,0.0070660897461051,10,0.5561146337263275,0.2291259839599974,0.092,-1.0362121726544447
Perm114,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=C(C=C(*)C=C1C1=CC=CC=C1)C1=CC=CC=C1,1.00743737102,0.0082580774338076,10,0.5547779653902664,0.2734247285616272,2.7,0.43136376415898736
Perm115,Polysulfones,*OC1=C2C=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C2=CC=C1,1.2065012648000002,0.0073355106570804,10,0.502100876767859,0.2124790542591058,0.036,-1.4436974992327127
Perm119,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C(=O)C2=CC=C(OC3=CC=C(C=C3)C3(C4C=CC=CC4C4C=CC=CC34)C3=CC=C(*)C=C3)C=C2)C2=C1C=CC=C2,1.0484807684,0.0078482038986902,10,0.5492166445179629,0.2514039836990575,0.192,-0.7166987712964504
Perm120,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C(=O)C1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3C=CC=CC3C3C=CC=CC23)C2=CC=C(*)C=C2)C=C1,1.0807266936000002,0.0073377285947075,10,0.549706408207063,0.2276928943099434,0.055,-1.2596373105057561
Perm121,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1877543728,0.0072129604845286,10,0.5174043854191591,0.2010858823262463,0.12,-0.9208187539523752
