PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,O2,O2_log10
Perm136,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC=C(*)C=C3C=C2)C=C1,1.2108570799,0.0072601158913988,10,0.5014310403721554,0.2106902770888788,0.38,-0.42021640338318983
Perm137,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC=C(*)C=C2)C=C1,1.138789304,0.0081455899777775,10,0.52283767035716,0.2259774692496848,2.76,0.4409090820652177
Perm138,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C2=CC=C(*)C=C2)C=C1,1.1878829394,0.0077574991861701,10,0.5112679180713111,0.2104756314586924,1.3,0.11394335230683679
Perm140,Polysulfones,*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=CC3=C(*)C=CC=C23)C=C1,1.1951643291999998,0.007682652720142,10,0.5017820295008062,0.2203744224991707,0.42,-0.37675070960209955
Perm143,Poly(aryl ethers) and Poly(aryl ether ketones),*OC1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.1769223348,0.0070362466999353,10,0.52943745478293,0.1899612049621959,0.259,-0.5867002359187482
Perm144,Polysulfones,*OC1=CC=C(OC2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C=C2)C=C1,1.2241242644,0.0069766951784383,10,0.504191982549176,0.1976482683192959,1.1,0.04139268515822508
Perm145,Polyesters,*OCCCCCC(*)=O,1.00085262148,0.0091501543680355,10,0.5988415351511721,0.2208422436006943,1.3215,0.12106716746772912
Perm146,Uncategorised,*SC1=CC=C(*)C=C1,1.235166809,0.0073980648014251,10,0.5091153708424566,0.1825048695787724,0.19,-0.721246399047171
Perm147,High Temperature Polymers,BrC1=C(C=CC(*)=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,1.2616073604999998,0.0083840210996901,10,0.4432641008045893,0.2730071721133712,0.006,-2.221848749616356
Perm148,Polyimides and Polypyrrolones,BrC1=CC(*)=CC=C1CC1=C(Br)C=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,1.4092629043,0.0072137254556672,10,0.4164188917615803,0.2371031941478943,0.0923,-1.034798298974088
Perm149,Uncategorised,BrC1=CC(=CC(Br)=C1O*)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,1.409526249,0.0100186736307616,10,0.387800710033672,0.2894001357747121,4.83,0.6839471307515121
Perm150,Uncategorised,BrC1=CC(=CC(Br)=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,1.5597772854999998,0.0097406271828776,10,0.3621245630378863,0.2657162316674597,1.96,0.292256071356476
Perm151,Parylenes,BrC1=CC(C*)=CC=C1C*,1.4796808071999998,0.0088862200374648,10,0.4153577857935408,0.2010239731122716,0.0241,-1.6179829574251317
Perm153,Vinyl and Vinylidene Polymers,BrC1=CC=C(C=C1)C(*)C*,1.3967083272999998,0.0104259629368603,10,0.4160174927151402,0.2446283747089855,1.9,0.2787536009528289
Perm156,Vinyl and Vinylidene Polymers,CC(*)(C*)C#N,0.91044738851,0.00649961538958,10,0.6240218535192924,0.2614192130172477,0.0012,-2.9208187539523753
Perm157,Vinyl and Vinylidene Polymers,CC(*)(C*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.5164963537999998,0.011611479306766,10,0.369260445828194,0.2720232443886758,30.0,1.4771212547196624
